movie_title,critics_score,audience_score,img_url,movie_url
Nonnas,80%,75%,https://resizing.flixster.com/8tMzRZFHZaleHb0it9tQnlok1Xw=/206x305/v2/https://resizing.flixster.com/WcFm0On2aEhh8eyd9Ob-I26ENTw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY1MTM4N2ViLTYyZjYtNGE5My05NzA2LWNlZTU5NDZkMzIyMS5qcGc=,https://www.rottentomatoes.com/m/nonnas
Warfare,93%,93%,https://resizing.flixster.com/vynmDQu-WrKyHQSmlRzeAfDXyz4=/206x305/v2/https://resizing.flixster.com/bCW4pupnvma7yONsT_2GJyFytvU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVlM2I1ZDlkLTE5MjAtNDA3YS1hY2U2LTVjMjY0OTBmNDc4Zi5qcGc=,https://www.rottentomatoes.com/m/warfare
Black Bag,96%,70%,https://resizing.flixster.com/n5L6pnMzC-qEbZV49qthDe0I8qE=/206x305/v2/https://resizing.flixster.com/BoBp9APaTdObDKV8IOyaMz8Fm8E=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhhMmFjZmU2LTUyYzMtNDc1NC04MzdiLTU1YjRjODRlNTRkYi5qcGc=,https://www.rottentomatoes.com/m/black_bag
Drop,84%,80%,https://resizing.flixster.com/pYwPdNBQvvzLzlSCpkmWJrnUWfw=/206x305/v2/https://resizing.flixster.com/u6J1nc1FqtkHIS96ZgUJP-NCh0g=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JhMzFjMTAxLTUzODEtNDZmNi1iNjgyLTQ3OWE2ZjkzZjllZi5qcGc=,https://www.rottentomatoes.com/m/drop_2025
Another Simple Favor,62%,38%,https://resizing.flixster.com/2y42YXlBOiGZEeLhOKxr0jrxTLY=/206x305/v2/https://resizing.flixster.com/rYw-sAhxctliSFnplZGFvxvFiMg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVmZTRiYmQxLTA3MWEtNDY4ZC1hMTViLWYwYmRiZjM1OWI4MS5qcGc=,https://www.rottentomatoes.com/m/another_simple_favor
Companion,93%,89%,https://resizing.flixster.com/Rs001_SUDq3s_PZrYC6O9To34B0=/206x305/v2/https://resizing.flixster.com/S8QC5Q_ClUyg-guAIMH7-7cPm1s=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdlNmI1MGUzLWZhNGEtNDYxNy05YTA2LWNjNThhZGY5MzIwZC5qcGc=,https://www.rottentomatoes.com/m/companion_2025
Havoc,67%,36%,https://resizing.flixster.com/o_sdeMbv0wnc3yDgMhF8-WIpegQ=/206x305/v2/https://resizing.flixster.com/2bkyVmLlw_8s0SzA8C1gaYNdoZY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJlNTkwNTIxLTM0YmYtNDgzNi1hZGFlLThjODM2ZTA5OTEzMi5qcGc=,https://www.rottentomatoes.com/m/havoc_2025
Conclave,93%,86%,https://resizing.flixster.com/TUhOXU8ItUMk2NKBta9pj5oG7FA=/206x305/v2/https://resizing.flixster.com/EuHvfeWcRbhSOlcUxLa4n_yhNtQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY4ZWI3MGFjLWNlZTEtNGYyOC04NGY1LWFlOGQzMDZmZThmNS5qcGc=,https://www.rottentomatoes.com/m/conclave
A Minecraft Movie,47%,86%,https://resizing.flixster.com/eGfSs7-RN8wAxu2DQqcqmCR-rbk=/206x305/v2/https://resizing.flixster.com/ViCYuISBvkrLsqD3ePYNSHszhoc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzc1ZTAwYzViLTIyMzAtNDJmMS04NjNlLTBjMTAyMjkyZDhhYy5qcGc=,https://www.rottentomatoes.com/m/a_minecraft_movie
The Order,92%,89%,https://resizing.flixster.com/t_euF7h0tUiid3gGWdVZuRkC9ws=/206x305/v2/https://resizing.flixster.com/qIe0yjJYL2q1Ny0Af1_i6Uen1Xo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzkwYTAwNjk1LTYzNWUtNDA3Ny05YjQyLTMzNDM0MzlmYTBmOS5qcGc=,https://www.rottentomatoes.com/m/the_order_2024
