show_title,critics_score,audience_score,img_url,show_url
The Last of Us,95%,63%,https://resizing.flixster.com/jjRocB8ol4sNXx_jI5qsU1pJTEw=/206x305/v2/https://resizing.flixster.com/HWNDu0ljca3TxTxaVhug6OBRt3k=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMDQyMTM0ZWMtYWIyZS00MDJhLTk3OTgtZjU2NWM0M2RlZDIzLmpwZw==,https://www.rottentomatoes.com/tv/the_last_of_us
Andor,96%,88%,https://resizing.flixster.com/AocSppp-Tp-5hhWjX4bzDS3dVzY=/206x305/v2/https://resizing.flixster.com/kJNnRxUvqj3sVCXbevm0xV2aPsM=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYThmODc1ODYtYjViMS00MTM4LTgyMDAtMDUwZmI1MDk1M2M1LmpwZw==,https://www.rottentomatoes.com/tv/andor
The Eternaut,94%,91%,https://resizing.flixster.com/bI36scHDhBtqQ224Z1PtUm6Ph1o=/206x305/v2/https://resizing.flixster.com/C2uOQ-SaytZFLJ1Zh3xKP_4WG-w=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNzk2NWFhZDYtM2VhMy00NTI0LTlmNmUtNzdhZjdmOTZkYWFiLmpwZw==,https://www.rottentomatoes.com/tv/the_eternaut
Murderbot,98%,,https://resizing.flixster.com/j7R3piRVCm_5dJVyfedtshazaiw=/206x305/v2/https://resizing.flixster.com/g_VF6diP1xmu9FFyHRIAuEn9eIQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNDBiZjJkYmMtNGI2Ny00MTkyLWI0ZDYtMzIyYjhlNjhiODNiLnBuZw==,https://www.rottentomatoes.com/tv/murderbot
Poker Face,99%,76%,https://resizing.flixster.com/7lRqwmZ99jqlzdtUp0ypi9Zw-rE=/206x305/v2/https://resizing.flixster.com/EocbeG1rIGqpr3mXCbQ_1VhGrDg=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMzk2MTNjZTUtZDE3Mi00NTg1LTg4MTYtZDVjMmFkNzI0OTQzLmpwZw==,https://www.rottentomatoes.com/tv/poker_face
The Four Seasons,77%,64%,https://resizing.flixster.com/vKcIHYW59uBc9KLBELOGbIdyRo4=/206x305/v2/https://resizing.flixster.com/QJ8xDvdwcc-9qu88WIvizMUY0aA=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZGJkZmM3MmEtNjQxZi00ODJlLWE4ZjEtN2U0Y2ViMzIxOTBhLmpwZw==,https://www.rottentomatoes.com/tv/the_four_seasons_2025
Bad Thoughts,55%,57%,https://resizing.flixster.com/QfY8a4Qh0g6LCbJITs3a88FAxxE=/206x305/v2/https://resizing.flixster.com/LUAGZPKsX2wJzgaBN_P-4HfIf7U=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMzYxMDhmMGMtOTNhMi00ZTQxLTlhYTEtYzFlOTQ1OWQyZjcxLmpwZw==,https://www.rottentomatoes.com/tv/bad_thoughts
The Rehearsal,96%,90%,https://resizing.flixster.com/BTRZQ7BZ8MmOTc19ltB7FFztQOk=/206x305/v2/https://resizing.flixster.com/6pAQOVxdMha_6lonTHTYPHeuYPE=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYzMxNzg2MDAtOGRhYS00ZjA5LWFjMTYtYjU4MTRjZjFlOWZhLmpwZw==,https://www.rottentomatoes.com/tv/the_rehearsal_2022
FOREVER,96%,92%,https://resizing.flixster.com/in5Js603kW_cb798BvOXkucRTUY=/206x305/v2/https://resizing.flixster.com/HEpzebUl5bdt3ct2WGwNNpajgr4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYTEwNTJmYWMtNzM1ZS00MGYwLWJiNTYtOWVlMTA0ZDliZTFmLmpwZw==,https://www.rottentomatoes.com/tv/forever_2025
The Narrow Road to the Deep North,100%,69%,https://resizing.flixster.com/zjZo4G9WmiQUW2sVsrg_y6H4cHI=/206x305/v2/https://resizing.flixster.com/OtO6yhwckZYs6pDGeRR7POI--9w=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYmQyOTQ2ZDEtNWQ2MC00Y2ZmLWI1YTYtOGNiNjY0NmFjODNhLmpwZw==,https://www.rottentomatoes.com/tv/the_narrow_road_to_the_deep_north
Duster,88%,,https://resizing.flixster.com/tzdrenU8Iht4gEK-BSPJaJL-2nU=/206x305/v2/https://resizing.flixster.com/0GNcfk2kDKq0oMgAs2ovhpRoDok=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvODcwZjIyODEtNjhkMi00YWQ2LTg1NmYtYjIxM2E5NzVlNmMyLmpwZw==,https://www.rottentomatoes.com/tv/duster
Your Friends & Neighbors,81%,80%,https://resizing.flixster.com/ZvU09xLYb8GhtgeHdMlItwaHAv0=/206x305/v2/https://resizing.flixster.com/bAwF6fghoHq7UDFoXacLskIwLs4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMmIwNDMxNGUtNmM1Zi00NTM2LWE0Y2UtMDkwNGMyYjBkMzY2LnBuZw==,https://www.rottentomatoes.com/tv/your_friends_and_neighbors
You,90%,70%,https://resizing.flixster.com/FJXp4RrAGqk8tTkXSAylpwSVgCQ=/206x305/v2/https://resizing.flixster.com/aUpfjOsoKS-6qISvYEMw_jB4Jd4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNjVjNjI1ZjAtMTkwYy00MGQ2LTg4MWQtMzdjNjM5Y2IyYThhLmpwZw==,https://www.rottentomatoes.com/tv/you
MobLand,74%,77%,https://resizing.flixster.com/lRzHvyyPcJGiTgT7g_l7Hx3z6ug=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p29595757_b_v13_ab.jpg,https://www.rottentomatoes.com/tv/mobland
